     **************************************************
     *                PROGRAM  RRKM                   *
     *              E. Martinez-Nunez                 *
     *       Departamento de Quimica Fisica           *
     *  Universidad de Santiago de Compostela(Spain)  *
     **************************************************


   Direct via TS8 for process 1 3         -8.3235 150          


   Energia critica   =  61.49kcal/mol
   Energia rotacional=   0.00kcal/mol
   Energia mas alta  = 161.18kcal/mol


   Rotores libres del reactivo= 0       Rotores libres del TS= 0



   Teoria rrkm armonica cuantica


   Frecuencias vibracionales del reactivo
   ======================================
       frec    1      551  cm-1
       frec    2      593  cm-1
       frec    3      957  cm-1
       frec    4     1063  cm-1
       frec    5     1232  cm-1
       frec    6     1308  cm-1
       frec    7     1840  cm-1
       frec    8     2664  cm-1
       frec    9     2788  cm-1


   Energia del punto cero en el re=    18.58kcal/mol


   Frecuencias vibracionales del estado de transicion
   ==================================================
       frec    1      355  cm-1
       frec    2      496  cm-1
       frec    3      642  cm-1
       frec    4     1064  cm-1
       frec    5     1342  cm-1
       frec    6     1552  cm-1
       frec    7     2463  cm-1
       frec    8     2757  cm-1


   Energia del punto cero en el TS=    15.25kcal/mol




     Energia      k(E,J)/s-1
     =======      ==========
        21510                 6308728.
        21520                 6298125.
        21530                 6219725.
        21540                 6261294.
        21550                 6183803.
        21560                 6188909.
        21570                 6183803.
        21580                 6204279.
        21590                 6188909.
        21600                 6163461.
        21610                 6158397.
        21620                 6128184.
        21630                 6053933.
        21640                 6034436.
        21650                 6063729.
        21660                 6000616.
        21670                 5924719.
        21680                 5991022.
        21690                 5995815.
        21700                 5869044.
        21710                 5962426.
        21720                 5943512.
        21730                 5841597.
        21740                 5948229.
        21750                 5769645.
        21760                 5814406.
        21770                 5751933.
        21780                 5846154.
        21790                 5778542.
        21800                 5814406.
        21810                 5809898.
        21820                 5729946.
        21830                 5712476.
        21840                 5682160.
        21850                 5716834.
        21860                 5743118.
        21870                11236535.
        21880                11329961.
        21890                11295808.
        21900                11144638.
        21910                11228118.
        21920                11202943.
        21930                11128090.
        21940                11144638.
        21950                11037951.
        21960                10933288.
        21970                10877749.
        21980                11119835.
        21990                10861984.
        22000                10957265.
        22010                16352223.
        22020                16210748.
        22030                16292976.
        22040                16048756.
        22050                16234157.
        22060                16164131.
        22070                16152519.
        22080                16025878.
        22090                16048756.
        22100                15935015.
        22110                15856352.
        22120                15822876.
        22130                15767396.
        22140                15668506.
        22150                21156722.
        22160                20632537.
        22170                20804355.
        22180                20905911.
        22190                20732418.
        22200                20618346.
        22210                20533614.
        22220                25509765.
        22230                25371594.
        22240                25200972.
        22250                25388784.
        22260                24999229.
        22270                25614385.
        22280                24932698.
        22290                25268944.
        22300                25032628.
        22310                25049361.
        22320                25032628.
        22330                24817116.
        22340                24670075.
        22350                24833562.
        22360                29448994.
        22370                29391251.
        22380                29545738.
        22390                29545738.
        22400                29143625.
        22410                29049492.
        22420                29068270.
        22430                28770706.
        22440                28937332.
        22450                28789125.
        22460                28569640.
        22470                28789125.
        22480                28353476.
        22490                28551501.
        22500                32933699.
        22510                38141318.
        22520                37567764.
        22530                37685827.
        22540                37380394.
        22550                37194883.
        22560                37544240.
        22570                36988372.
        22580                46667303.
        22590                46407238.
        22600                46064960.
        22610                45783561.
        22620                46008404.
        22630                45755610.
        22640                45980178.
        22650                50056137.
        22660                50086548.
