     **************************************************
     *                PROGRAM  RRKM                   *
     *              E. Martinez-Nunez                 *
     *       Departamento de Quimica Fisica           *
     *  Universidad de Santiago de Compostela(Spain)  *
     **************************************************


   Reverse via TS10 for process 3 1          5.2856 150        


   Energia critica   =  54.73kcal/mol
   Energia rotacional=   0.00kcal/mol
   Energia mas alta  = 161.18kcal/mol


   Rotores libres del reactivo= 0       Rotores libres del TS= 0



   Teoria rrkm armonica cuantica


   Frecuencias vibracionales del reactivo
   ======================================
       frec    1      467  cm-1
       frec    2      523  cm-1
       frec    3      591  cm-1
       frec    4      818  cm-1
       frec    5      847  cm-1
       frec    6     1242  cm-1
       frec    7     1340  cm-1
       frec    8     2737  cm-1
       frec    9     2763  cm-1


   Energia del punto cero en el re=    16.19kcal/mol


   Frecuencias vibracionales del estado de transicion
   ==================================================
       frec    1      326  cm-1
       frec    2      473  cm-1
       frec    3      523  cm-1
       frec    4     1077  cm-1
       frec    5     1256  cm-1
       frec    6     1567  cm-1
       frec    7     2472  cm-1
       frec    8     2788  cm-1


   Energia del punto cero en el TS=    14.98kcal/mol




     Energia      k(E,J)/s-1
     =======      ==========
        19150                 3789539.
        19160                 3780937.
        19170                 3877771.
        19180                 3759599.
        19190                 3720408.
        19200                 3830209.
        19210                 3728737.
        19220                 3705234.
        19230                 3739901.
        19240                 3684740.
        19250                 3712116.
        19260                 3725956.
        19270                 3633824.
        19280                 3699746.
        19290                 3668508.
        19300                 3568934.
        19310                 3669855.
        19320                 3644426.
        19330                 3527362.
        19340                 3643097.
        19350                 3618036.
        19360                 3492840.
        19370                 3583010.
        19380                 3579160.
        19390                 3469797.
        19400                 3562572.
        19410                 3529853.
        19420                 3439936.
        19430                 3513718.
        19440                 3487963.
        19450                 3429312.
        19460                 3490400.
        19470                 6839846.
        19480                 6795658.
        19490                 6951663.
        19500                 6749757.
        19510                 6736107.
        19520                 6884613.
        19530                 6697731.
        19540                 6646502.
        19550                 6839846.
        19560                 6631065.
        19570                 6602587.
        19580                 6745201.
        19590                 6587353.
        19600                 6535654.
        19610                 6648713.
        19620                 9749283.
        19630                 9822754.
        19640                 9887548.
        19650                 9621003.
        19660                 9739781.
        19670                12982157.
        19680                12661407.
        19690                12965313.
        19700                12894213.
        19710                12499081.
        19720                12832122.
        19730                12766548.
        19740                12382919.
        19750                12742130.
        19760                12661407.
        19770                12295313.
        19780                12538288.
        19790                12510817.
        19800                15261172.
        19810                15536404.
        19820                15435612.
        19830                15242549.
        19840                15407054.
        19850                15104316.
        19860                15099751.
        19870                15373870.
        19880                14995521.
        19890                14932778.
        19900                15233255.
        19910                14747661.
        19920                14808855.
        19930                15145522.
        19940                17567563.
        19950                17546998.
        19960                17940781.
        19970                17465217.
        19980                17364058.
        19990                20683355.
        20000                20205403.
        20010                20187910.
        20020                20322808.
        20030                20037556.
        20040                20031818.
