     **************************************************
     *                PROGRAM  RRKM                   *
     *              E. Martinez-Nunez                 *
     *       Departamento de Quimica Fisica           *
     *  Universidad de Santiago de Compostela(Spain)  *
     **************************************************


   Reverse via TS8 for process 3 1          5.2856 150         


   Energia critica   =  47.88kcal/mol
   Energia rotacional=   0.00kcal/mol
   Energia mas alta  = 161.18kcal/mol


   Rotores libres del reactivo= 0       Rotores libres del TS= 0



   Teoria rrkm armonica cuantica


   Frecuencias vibracionales del reactivo
   ======================================
       frec    1      467  cm-1
       frec    2      523  cm-1
       frec    3      591  cm-1
       frec    4      818  cm-1
       frec    5      847  cm-1
       frec    6     1242  cm-1
       frec    7     1340  cm-1
       frec    8     2737  cm-1
       frec    9     2763  cm-1


   Energia del punto cero en el re=    16.19kcal/mol


   Frecuencias vibracionales del estado de transicion
   ==================================================
       frec    1      355  cm-1
       frec    2      496  cm-1
       frec    3      642  cm-1
       frec    4     1064  cm-1
       frec    5     1342  cm-1
       frec    6     1552  cm-1
       frec    7     2463  cm-1
       frec    8     2757  cm-1


   Energia del punto cero en el TS=    15.25kcal/mol




     Energia      k(E,J)/s-1
     =======      ==========
        16750                 8727524.
        16760                 8804419.
        16770                 8682029.
        16780                 8765803.
        16790                 8577695.
        16800                 8526464.
        16810                 8682029.
        16820                 8447181.
        16830                 8454328.
        16840                 8674492.
        16850                 8390441.
        16860                 8238265.
        16870                 8562995.
        16880                 8355364.
        16890                 8245062.
        16900                 8390441.
        16910                 8245062.
        16920                 8190996.
        16930                 8306746.
        16940                 8091510.
        16950                 8177590.
        16960                 8190996.
        16970                 7975272.
        16980                 8197716.
        16990                 8032970.
        17000                 7813147.
        17010                 8231479.
        17020                 8084964.
        17030                 7651620.
        17040                 8071902.
        17050                 7943573.
        17060                 7581954.
        17070                 8045906.
        17080                 7930964.
        17090                 7547595.
        17100                 7837659.
        17110                15553331.
        17120                15118026.
        17130                15589727.
        17140                15186953.
        17150                15072421.
        17160                15517104.
        17170                14826432.
        17180                14870558.
        17190                15505066.
        17200                14717254.
        17210                14738961.
        17220                15457100.
        17230                14296159.
        17240                14472144.
        17250                23060804.
        17260                21459589.
        17270                21428910.
        17280                22608632.
        17290                21322223.
        17300                21201588.
        17310                22355739.
        17320                21023174.
        17330                21112004.
        17340                21645520.
        17350                20920479.
        17360                21141781.
        17370                21505772.
        17380                20435614.
        17390                28248806.
        17400                28228857.
        17410                26648041.
        17420                27913450.
        17430                28030898.
        17440                26559509.
        17450                27739112.
        17460                34673891.
        17470                32828565.
        17480                33989848.
        17490                34199231.
        17500                32807010.
        17510                33669189.
        17520                33421456.
        17530                32699657.
        17540                33199386.
        17550                33089454.
        17560                32487046.
        17570                33023844.
        17580                32423800.
