     **************************************************
     *                PROGRAM  RRKM                   *
     *              E. Martinez-Nunez                 *
     *       Departamento de Quimica Fisica           *
     *  Universidad de Santiago de Compostela(Spain)  *
     **************************************************


   Direct via TS10 for process 1 3         -8.3235 150         


   Energia critica   =  68.34kcal/mol
   Energia rotacional=   0.00kcal/mol
   Energia mas alta  = 161.18kcal/mol


   Rotores libres del reactivo= 0       Rotores libres del TS= 0



   Teoria rrkm armonica cuantica


   Frecuencias vibracionales del reactivo
   ======================================
       frec    1      551  cm-1
       frec    2      593  cm-1
       frec    3      957  cm-1
       frec    4     1063  cm-1
       frec    5     1232  cm-1
       frec    6     1308  cm-1
       frec    7     1840  cm-1
       frec    8     2664  cm-1
       frec    9     2788  cm-1


   Energia del punto cero en el re=    18.58kcal/mol


   Frecuencias vibracionales del estado de transicion
   ==================================================
       frec    1      326  cm-1
       frec    2      473  cm-1
       frec    3      523  cm-1
       frec    4     1077  cm-1
       frec    5     1256  cm-1
       frec    6     1567  cm-1
       frec    7     2472  cm-1
       frec    8     2788  cm-1


   Energia del punto cero en el TS=    14.98kcal/mol




     Energia      k(E,J)/s-1
     =======      ==========
        23910                 3218020.
        23920                 3209751.
        23930                 3202893.
        23940                 3194701.
        23950                 3177096.
        23960                 3171718.
        23970                 3169035.
        23980                 3130647.
        23990                 3182492.
        24000                 3118922.
        24010                 3134575.
        24020                 3146419.
        24030                 3129340.
        24040                 3111154.
        24050                 3098292.
        24060                 3093177.
        24070                 3067855.
        24080                 3067855.
        24090                 3070368.
        24100                 3062840.
        24110                 3074146.
        24120                 3040474.
        24130                 3049133.
        24140                 3034319.
        24150                 3026966.
        24160                 3019649.
        24170                 3005120.
        24180                 2975295.
        24190                 3005120.
        24200                 2968225.
        24210                 2972935.
        24220                 2965876.
        24230                 5957686.
        24240                 5859866.
        24250                 5866747.
        24260                 5862158.
        24270                 5807647.
        24280                 5846154.
        24290                 5807647.
        24300                 5798661.
        24310                 5783001.
        24320                 5756351.
        24330                 5765207.
        24340                 5736524.
        24350                 5776315.
        24360                 5695113.
        24370                 5710300.
        24380                 8487847.
        24390                 8491052.
        24400                 8510336.
        24410                 8446396.
        24420                 8446396.
        24430                11291554.
        24440                11111592.
        24450                11140496.
        24460                11132223.
        24470                11099251.
        24480                11144638.
        24490                11054231.
        24500                11066473.
        24510                10921339.
        24520                10997460.
        24530                10846265.
        24540                10909416.
        24550                10921339.
        24560                13513828.
        24570                13528464.
        24580                13431486.
        24590                13436301.
        24600                13484651.
        24610                13397871.
        24620                13388297.
        24630                13383516.
        24640                13279180.
        24650                13176457.
        24660                13167198.
        24670                13185730.
        24680                13148717.
        24690                13157951.
        24700                15684902.
        24710                15597854.
        24720                15663049.
        24730                15463760.
        24740                15506418.
        24750                18028654.
        24760                18041053.
        24770                17923943.
        24780                17850760.
        24790                17875088.
        24800                17784197.
        24810                17905591.
        24820                17682299.
        24830                17712148.
        24840                17676342.
        24850                19992715.
        24860                20032794.
        24870                19986050.
        24880                22461845.
        24890                22461845.
        24900                24825336.
        24910                24718895.
        24920                24686327.
        24930                24694461.
        24940                24564959.
        24950                26915592.
        24960                26986075.
        24970                26732315.
        24980                29143625.
        24990                29105899.
        25000                28928024.
        25010                29190921.
        25020                28660684.
        25030                31258260.
        25040                31009547.
        25050                31108556.
        25060                30852437.
        25070                31019419.
        25080                33257295.
        25090                33026996.
        25100                33152216.
        25110                32779371.
        25120                32789614.
        25130                32933699.
        25140                32606204.
        25150                32495127.
        25160                34837786.
        25170                34751633.
        25180                37045506.
        25190                36874632.
        25200                36874632.
        25210                38975550.
        25220                38773911.
        25230                40942592.
        25240                40707858.
        25250                41054729.
        25260                40487947.
        25270                40892950.
        25280                42762946.
        25290                42558461.
        25300                42647682.
        25310                44452959.
        25320                46717171.
        25330                46661769.
        25340                46606499.
        25350                46182555.
        25360                48452811.
        25370                50774576.
        25380                50344534.
        25390                50447669.
        25400                50418159.
        25410                52228355.
        25420                54420338.
        25430                53841731.
        25440                53779915.
        25450                53934722.
        25460                55818961.
        25470                60372132.
        25480                59923909.
        25490                62010927.
        25500                63821478.
        25510                65669259.
        25520                65521105.
        25530                65465719.
        25540                68037619.
        25550                68855060.
        25560                69182482.
        25570                69066567.
        25580                68778469.
        25590                68682970.
        25600                70764272.
        25610                70470726.
        25620                70179604.
        25630                74185230.
        25640                73719039.
        25650                75766790.
        25660                75953561.
        25670                75622157.
        25680                79320485.
        25690                79170094.
        25700                80719105.
        25710                80893351.
        25720                80115114.
        25730                82360098.
        25740                82559249.
        25750                83606984.
        25760                83740435.
        25770                83473958.
        25780                85484102.
        25790                84697783.
        25800                90845684.
        25810                92382413.
        25820                91876406.
        25830                96440041.
        25840                95264248.
        25850                97385251.
        25860                99255574.
        25870                99281355.
        25880               100367753.
        25890               100135659.
        25900               101851988.
        25910               101643489.
        25920               101151707.
        25930               105102573.
        25940               104781975.
        25950               108702756.
        25960               111664487.
        25970               111749145.
        25980               115362328.
        25990               114438274.
        26000               118605989.
        26010               121365217.
        26020               121003473.
        26030               125068373.
        26040               124386802.
        26050               124263677.
        26060               127657136.
