     **************************************************
     *                PROGRAM  RRKM                   *
     *              E. Martinez-Nunez                 *
     *       Departamento de Quimica Fisica           *
     *  Universidad de Santiago de Compostela(Spain)  *
     **************************************************


   Direct via TS9 for process 1 7         -8.3235 150          


   Energia critica   =  66.47kcal/mol
   Energia rotacional=   0.00kcal/mol
   Energia mas alta  = 161.18kcal/mol


   Rotores libres del reactivo= 0       Rotores libres del TS= 0



   Teoria rrkm armonica cuantica


   Frecuencias vibracionales del reactivo
   ======================================
       frec    1      551  cm-1
       frec    2      593  cm-1
       frec    3      957  cm-1
       frec    4     1063  cm-1
       frec    5     1232  cm-1
       frec    6     1308  cm-1
       frec    7     1840  cm-1
       frec    8     2664  cm-1
       frec    9     2788  cm-1


   Energia del punto cero en el re=    18.58kcal/mol


   Frecuencias vibracionales del estado de transicion
   ==================================================
       frec    1      451  cm-1
       frec    2      587  cm-1
       frec    3      906  cm-1
       frec    4      998  cm-1
       frec    5     1346  cm-1
       frec    6     1947  cm-1
       frec    7     2103  cm-1
       frec    8     2635  cm-1


   Energia del punto cero en el TS=    15.69kcal/mol




     Energia      k(E,J)/s-1
     =======      ==========
        23250                 3827768.
        23260                 3853352.
        23270                 3802521.
        23280                 3796742.
        23290                 3837567.
        23300                 3766216.
        23310                 3771902.
        23320                 3764324.
        23330                 3781417.
        23340                 3736176.
        23350                 3766216.
        23360                 3745512.
        23370                 3730597.
        23380                 3710282.
        23390                 3690187.
        23400                 3682933.
        23410                 3699294.
        23420                 3664924.
        23430                 3686556.
        23440                 3661343.
        23450                 3636472.
        23460                 3659555.
        23470                 3592890.
        23480                 3608459.
        23490                 3604987.
        23500                 3594613.
        23510                 3558770.
        23520                 3572340.
        23530                 3591169.
        23540                 3521978.
        23550                 3572340.
        23560                 3550341.
        23570                 3531936.
        23580                 3540278.
        23590                 3482699.
        23600                 3495694.
        23610                 3479466.
        23620                 3497326.
        23630                 3482699.
        23640                 3468195.
        23650                 3466591.
        23660                 3453811.
        23670                 3411365.
        23680                 3422269.
        23690                 3408262.
        23700                 3444287.
        23710                 6730821.
        23720                 6770342.
        23730                 6764232.
        23740                 6682808.
        23750                 6736871.
        23760                 6697738.
        23770                 6691758.
        23780                 6641355.
        23790                 6644299.
        23800                 6597508.
        23810                 6574359.
        23820                 6656100.
        23830                 6562845.
        23840                 9844267.
        23850                 9809907.
        23860                 9788553.
        23870                 9746123.
        23880                 9704060.
        23890                 9716641.
        23900                 9763051.
        23910                 9654060.
        23920                 9629253.
        23930                 9608678.
        23940                 9584103.
        23950                 9531287.
        23960                 9515153.
        23970                 9507106.
        23980                 9391941.
        23990                 9547476.
        24000                 9356765.
        24010                 9403725.
        24020                 9439256.
        24030                 9388020.
        24040                 9333461.
        24050                 9294877.
        24060                 9279532.
        24070                 9203564.
        24080                 9203564.
        24090                 9211105.
        24100                 9188519.
