  kmc calc                                                                        
 at the beginning
 P0(           1 )=        1000
 P0(           2 )=           0
 P0(           3 )=           0
 P0(           4 )=           0
 P0(           5 )=           0
 P0(           6 )=           0
 P0(           7 )=           0
  # of calcs:   1
  # of procs:   6
  # of specs:   7

  Rates: 1.63E+01 8.25E-01 4.04E-01 2.89E-01 7.02E-01 3.44E-01
  Reacts:        1        1        3        1        1        3
  Prods :        6        3        1        7        3        1

  Step size =        10

  Calculation number   1
  Time(ps)       1       2       3       4       5       6       7
0.0000E+00    1000       0       0       0       0       0       0
0.5591E-03     990       0       0       0       0      10       0
0.1031E-02     980       0       1       0       0      19       0
0.1614E-02     970       0       2       0       0      28       0
0.2139E-02     960       0       2       0       0      38       0
0.2470E-02     950       0       2       0       0      48       0
0.2859E-02     940       0       2       0       0      58       0
0.3289E-02     930       0       3       0       0      67       0
0.3884E-02     920       0       4       0       0      76       0
0.4390E-02     910       0       6       0       0      84       0
0.4823E-02     900       0       6       0       0      94       0
0.5351E-02     890       0       8       0       0     101       1
0.5902E-02     880       0      11       0       0     108       1
0.7082E-02     870       0      11       0       0     118       1
0.8250E-02     860       0      13       0       0     126       1
0.8857E-02     850       0      14       0       0     134       2
0.9444E-02     840       0      15       0       0     143       2
0.1009E-01     830       0      17       0       0     151       2
0.1056E-01     820       0      17       0       0     161       2
0.1110E-01     810       0      20       0       0     167       3
0.1195E-01     800       0      21       0       0     175       4
0.1244E-01     790       0      21       0       0     185       4
0.1349E-01     780       0      22       0       0     194       4
0.1436E-01     770       0      24       0       0     202       4
0.1504E-01     760       0      24       0       0     212       4
0.1594E-01     750       0      26       0       0     220       4
0.1665E-01     740       0      27       0       0     229       4
0.1748E-01     730       0      27       0       0     239       4
0.1802E-01     720       0      28       0       0     248       4
0.1853E-01     710       0      30       0       0     256       4
0.1940E-01     700       0      30       0       0     266       4
0.2025E-01     690       0      31       0       0     275       4
0.2164E-01     680       0      32       0       0     284       4
0.2274E-01     670       0      32       0       0     294       4
0.2361E-01     660       0      33       0       0     303       4
0.2489E-01     650       0      33       0       0     313       4
0.2579E-01     640       0      33       0       0     322       5
0.2657E-01     630       0      34       0       0     331       5
0.2720E-01     620       0      34       0       0     341       5
0.2764E-01     610       0      35       0       0     350       5
0.2826E-01     600       0      37       0       0     358       5
0.2920E-01     590       0      38       0       0     367       5
0.3009E-01     580       0      38       0       0     377       5
0.3092E-01     570       0      40       0       0     385       5
0.3161E-01     560       0      41       0       0     394       5
0.3273E-01     550       0      42       0       0     403       5
0.3455E-01     540       0      43       0       0     412       5
0.3554E-01     530       0      43       0       0     422       5
0.3686E-01     520       0      43       0       0     432       5
0.3785E-01     510       0      43       0       0     442       5
0.4001E-01     500       0      44       0       0     451       5
0.4135E-01     490       0      46       0       0     459       5
0.4222E-01     480       0      46       0       0     469       5
0.4372E-01     470       0      49       0       0     475       6
0.4496E-01     460       0      50       0       0     484       6
0.4591E-01     450       0      52       0       0     492       6
0.4683E-01     440       0      52       0       0     502       6
0.4824E-01     430       0      53       0       0     511       6
0.4936E-01     420       0      54       0       0     520       6
0.5083E-01     410       0      55       0       0     529       6
0.5202E-01     400       0      55       0       0     538       7
0.5400E-01     390       0      57       0       0     546       7
0.5545E-01     380       0      58       0       0     555       7
0.5643E-01     370       0      58       0       0     565       7
0.5852E-01     362       0      57       0       0     574       7
0.6076E-01     352       0      58       0       0     583       7
0.6212E-01     342       0      58       0       0     593       7
0.6376E-01     332       0      59       0       0     601       8
0.6494E-01     322       0      59       0       0     611       8
0.6755E-01     312       0      60       0       0     620       8
0.6926E-01     302       0      61       0       0     629       8
0.7130E-01     292       0      62       0       0     638       8
0.7316E-01     284       0      62       0       0     645       9
0.7567E-01     274       0      62       0       0     655       9
0.7771E-01     264       0      64       0       0     663       9
0.7947E-01     256       0      64       0       0     671       9
0.8071E-01     246       0      64       0       0     681       9
0.8338E-01     236       0      65       0       0     690       9
0.8589E-01     226       0      67       0       0     698       9
0.8878E-01     218       0      67       0       0     706       9
0.8969E-01     212       0      65       0       0     714       9
0.9256E-01     204       0      64       0       0     720      12
0.9355E-01     194       0      65       0       0     729      12
0.9652E-01     184       0      66       0       0     737      13
0.9902E-01     174       0      66       0       0     747      13
0.1009E+00     164       0      66       0       0     757      13
0.1038E+00     154       0      66       0       0     767      13
0.1071E+00     144       0      68       0       0     775      13
0.1107E+00     134       0      69       0       0     784      13
0.1136E+00     124       0      72       0       0     791      13
0.1220E+00     114       0      73       0       0     800      13
0.1280E+00     106       0      73       0       0     808      13
0.1312E+00      96       0      73       0       0     818      13
0.1361E+00      86       0      73       0       0     828      13
